Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,"50's","100's",Innings Runs Scored Buckets,Innings Overs Bowled,Innings Bowled Flag,Innings Maidens Bowled,Innings Runs Conceded,Innings Wickets Taken,4 Wickets,5 Wickets,10 Wickets,Innings Wickets Taken Buckets,Innings Economy Rate
SPD Smith,79*,79,88,1,1,79,8,0,100.00,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
C Green,77*,77,135,1,1,104,4,2,74.03,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
SA Abbott,69,69,74,1,0,63,1,4,109.52,1,v West Indies,Sydney,2024/02/04,Australia,1,0,50-99,,,,,,,,,,
JP Inglis,65,65,49,1,0,43,10,1,151.16,2,v West Indies,Melbourne,2024/02/02,Australia,1,0,50-99,,,,,,,,,,
MW Short,41,41,64,1,0,55,2,1,74.54,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
J Fraser-McGurk,41,41,21,1,0,18,5,3,227.77,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,35*,35,32,1,1,16,4,1,218.75,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
C Green,33,33,69,1,0,41,5,1,80.48,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
M Labuschagne,26,26,40,1,0,33,3,1,78.78,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
AM Hardie,26,26,41,1,0,36,3,0,72.22,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
W Sutherland,18,18,40,1,0,33,0,0,54.54,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
J Fraser-McGurk,10,10,3,1,0,5,1,1,200.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
JP Inglis,9,9,14,1,0,11,1,0,81.81,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
A Zampa,8*,8,21,1,1,11,0,0,72.72,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
SPD Smith,6*,6,2,1,1,3,1,0,200.00,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
SPD Smith,5,5,19,1,0,10,1,0,50.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
JR Hazlewood,4*,4,6,1,1,4,0,0,100.00,1,v West Indies,Sydney,2024/02/04,Australia,0,0,0-49,,,,,,,,,,
TM Head,4,4,3,1,0,5,1,0,80.00,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,0-49,,,,,,,,,,
AM Hardie,2,2,7,1,0,5,0,0,40.00,2,v West Indies,Canberra,2024/02/06,Australia,0,0,0-49,,,,,,,,,,
SA Abbott,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
AM Hardie,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
XC Bartlett,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
LR Morris,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
M Labuschagne,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
MW Short,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Melbourne,2024/02/02,Australia,0,0,-,,,,,,,,,,
A Zampa,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
C Green,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
M Labuschagne,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
SA Abbott,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
LR Morris,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
W Sutherland,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
XC Bartlett,DNB,-,-,0,0,-,-,-,-,2,v West Indies,Canberra,2024/02/06,Australia,0,0,-,,,,,,,,,,
KU Carty,88,88,162,1,0,108,6,2,81.48,1,v Australia,Melbourne,2024/02/02,West Indies,1,0,50-99,,,,,,,,,,
RL Chase,59,59,80,1,0,67,7,0,88.05,1,v Australia,Melbourne,2024/02/02,West Indies,1,0,50-99,,,,,,,,,,
KU Carty,40,40,75,1,0,51,2,1,78.43,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,32,32,92,1,0,60,2,0,53.33,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,29,29,69,1,0,65,0,1,44.61,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
RL Chase,25,25,80,1,0,41,2,0,60.97,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
HR Walsh,20,20,59,1,0,35,0,0,57.14,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
MW Forde,19,19,21,1,0,21,1,1,90.47,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,19,19,16,1,0,15,2,1,126.66,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,12,12,23,1,0,17,1,0,70.58,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
RL Chase,12,12,47,1,0,26,0,0,46.15,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
KAR Hodge,11,11,23,1,0,18,1,0,61.11,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,11,11,15,1,0,14,2,0,78.57,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KU Carty,10,10,33,1,0,22,0,0,45.45,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
JP Greaves,8,8,20,1,0,10,1,0,80.00,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KY Ottley,8,8,23,1,0,14,1,0,57.14,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
KY Ottley,8,8,12,1,0,7,2,0,114.28,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
G Motie,7*,7,25,1,1,21,1,0,33.33,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
MW Forde,7,7,7,1,0,9,1,0,77.77,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,7,7,10,1,0,9,1,0,77.77,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,6,6,15,1,0,13,0,0,46.15,2,v Australia,Sydney,2024/02/04,West Indies,0,0,0-49,,,,,,,,,,
AS Joseph,6,6,18,1,0,9,0,0,66.66,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
A Athanaze,5,5,18,1,0,11,1,0,45.45,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
SD Hope,4,4,5,1,0,5,1,0,80.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
G Motie,3,3,4,1,0,5,0,0,60.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,2*,2,6,1,1,5,0,0,40.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
JP Greaves,1,1,6,1,0,5,0,0,20.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,1,1,2,1,0,2,0,0,50.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
O Thomas,0*,0,2,1,1,2,0,0,0.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
R Shepherd,0,0,2,1,0,1,0,0,0.00,1,v Australia,Melbourne,2024/02/02,West Indies,0,0,0-49,,,,,,,,,,
TJ Bishop,0,0,5,1,0,6,0,0,0.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
MW Forde,0,0,2,1,0,2,0,0,0.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
G Motie,0,0,5,1,0,4,0,0,0.00,1,v Australia,Canberra,2024/02/06,West Indies,0,0,0-49,,,,,,,,,,
P Nissanka,210*,210,221,1,1,139,20,8,151.07,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,1,200+,,,,,,,,,,
P Nissanka,118,118,136,1,0,101,16,2,116.83,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,1,100-149,,,,,,,,,,
KIC Asalanka,101,101,132,1,0,95,5,4,106.31,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,1,100-149,,,,,,,,,,
KIC Asalanka,97*,97,95,1,1,74,9,2,131.08,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,1,0,50-99,,,,,,,,,,
J Liyanage,95,95,162,1,0,127,6,2,74.80,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,1,0,50-99,,,,,,,,,,
WIA Fernando,91,91,96,1,0,66,10,5,137.87,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,1,0,50-99,,,,,,,,,,
WIA Fernando,88,88,111,1,0,88,8,3,100.00,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,1,0,50-99,,,,,,,,,,
BKG Mendis,66*,66,66,1,1,51,9,1,129.41,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,1,0,50-99,,,,,,,,,,
BKG Mendis,61,61,99,1,0,65,6,1,93.84,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,1,0,50-99,,,,,,,,,,
S Samarawickrama,52,52,70,1,0,61,3,0,85.24,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,1,0,50-99,,,,,,,,,,
J Liyanage,50,50,65,1,0,48,2,2,104.16,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,1,0,50-99,,,,,,,,,,
BKG Mendis,46,46,92,1,0,48,6,0,95.83,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
S Samarawickrama,45,45,58,1,0,36,4,1,125.00,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,0-49,,,,,,,,,,
S Samarawickrama,41,41,38,1,0,31,8,0,132.25,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
BKG Mendis,40,40,36,1,0,29,0,4,137.93,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,0-49,,,,,,,,,,
J Liyanage,24,24,36,1,0,34,1,0,70.58,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
SSD Arachchige,21,21,40,1,0,39,2,0,53.84,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
JDF Vandersay,19*,19,30,1,1,18,2,0,105.55,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
PVD Chameera,18*,18,36,1,1,25,2,0,72.00,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
PVD Chameera,18,18,36,1,0,23,1,0,78.26,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
M Theekshana,18,18,38,1,0,31,1,0,58.06,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
P Nissanka,18,18,21,1,0,17,3,0,105.88,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,0-49,,,,,,,,,,
BKG Mendis,17,17,62,1,0,28,2,0,60.71,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
BKG Mendis,16,16,34,1,0,31,1,0,51.61,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,0-49,,,,,,,,,,
S Samarawickrama,14*,14,14,1,1,17,1,0,82.35,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,0-49,,,,,,,,,,
PW Hasaranga,14,14,24,1,0,13,2,0,107.69,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,0-49,,,,,,,,,,
S Daniel,12,12,58,1,0,28,1,0,42.85,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,0-49,,,,,,,,,,
SSD Arachchige,11,11,29,1,0,24,0,0,45.83,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
M Theekshana,10,10,17,1,0,16,0,0,62.50,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
S Samarawickrama,8*,8,11,1,1,5,1,0,160.00,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,0-49,,,,,,,,,,
MD Shanaka,8,8,27,1,0,19,0,0,42.10,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
KIC Asalanka,7*,7,13,1,1,8,0,0,87.50,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,0-49,,,,,,,,,,
KIC Asalanka,7*,7,8,1,1,13,0,0,53.84,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,0-49,,,,,,,,,,
MD Shanaka,7,7,16,1,0,13,0,0,53.84,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
WIA Fernando,5,5,43,1,0,23,0,0,21.73,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,0-49,,,,,,,,,,
WIA Fernando,4,4,3,1,0,5,1,0,80.00,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
S Samarawickrama,4,4,9,1,0,3,1,0,133.33,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
JDF Vandersay,3*,3,8,1,1,3,0,0,100.00,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
D Madushanka,3*,3,1,1,1,2,0,0,150.00,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
WIA Fernando,0,0,3,1,0,5,0,0,0.00,1,v Zimbabwe,Colombo (RPS),2024/01/06,Sri Lanka,0,0,0-49,,,,,,,,,,
KIC Asalanka,0,0,9,1,0,7,0,0,0.00,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,0-49,,,,,,,,,,
WIA Fernando,0,0,6,1,0,4,0,0,0.00,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,0-49,,,,,,,,,,
D Madushanka,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/08,Sri Lanka,0,0,-,,,,,,,,,,
J Liyanage,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
D Madushanka,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
SSD Arachchige,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
M Theekshana,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
PVD Chameera,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
PW Hasaranga,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
KIC Asalanka,DNB,-,-,0,0,-,-,-,-,2,v Zimbabwe,Colombo (RPS),2024/01/11,Sri Lanka,0,0,-,,,,,,,,,,
Pramod Madushan,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
PW Hasaranga,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
PVD Chameera,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
D Madushanka,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
J Liyanage,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
M Theekshana,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/09,Sri Lanka,0,0,-,,,,,,,,,,
AM Fernando,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,-,,,,,,,,,,
D Madushanka,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,-,,,,,,,,,,
M Theekshana,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,-,,,,,,,,,,
Pramod Madushan,DNB,-,-,0,0,-,-,-,-,1,v Afghanistan,Pallekele,2024/02/11,Sri Lanka,0,0,-,,,,,,,,,,
A Dananjaya,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
D Madushanka,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
J Liyanage,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
DN Wellalage,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
Pramod Madushan,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
AM Fernando,DNB,-,-,0,0,-,-,-,-,2,v Afghanistan,Pallekele,2024/02/14,Sri Lanka,0,0,-,,,,,,,,,,
CR Ervine,82,82,151,1,0,102,9,1,80.39,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,1,0,50-99,,,,,,,,,,
RP Burl,31,31,55,1,0,37,1,1,83.78,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
J Gumbie,30,30,55,1,0,37,4,0,81.08,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
J Gumbie,29,29,46,1,0,34,4,0,85.29,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
M Shumba,26,26,47,1,0,45,2,0,57.77,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
T Kaitano,17,17,38,1,0,24,1,0,70.83,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
C Madande,14,14,24,1,0,21,1,0,66.66,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
LM Jongwe,14,14,26,1,0,17,1,1,82.35,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
WP Masakadza,11,11,28,1,0,20,0,0,55.00,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
Sikandar Raza,10,10,22,1,0,11,1,0,90.90,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
RP Burl,9,9,11,1,0,13,1,0,69.23,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
R Ngarava,5*,5,12,1,1,4,1,0,125.00,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
M Shumba,2*,2,5,1,1,3,0,0,66.66,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,0-49,,,,,,,,,,
R Ngarava,2*,2,7,1,1,2,0,0,100.00,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
M Shumba,2,2,8,1,0,9,0,0,22.22,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
T Kaitano,1*,1,20,1,1,16,0,0,6.25,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,0-49,,,,,,,,,,
Sikandar Raza,1,1,3,1,0,5,0,0,20.00,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
M Faraz Akram,1,1,15,1,0,6,0,0,16.66,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
T Mufudza,1,1,7,1,0,9,0,0,11.11,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
TS Kamunhukamwe,0,0,10,1,0,1,0,0,0.00,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,0-49,,,,,,,,,,
CR Ervine,0,0,3,1,0,4,0,0,0.00,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,0-49,,,,,,,,,,
TS Kamunhukamwe,0,0,2,1,0,1,0,0,0.00,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
B Muzarabani,0,0,4,1,0,2,0,0,0.00,1,v Sri Lanka,Colombo (RPS),2024/01/08,Zimbabwe,0,0,0-49,,,,,,,,,,
CR Ervine,0,0,9,1,0,6,0,0,0.00,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
C Madande,0,0,6,1,0,1,0,0,0.00,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
B Muzarabani,0,0,1,1,0,1,0,0,0.00,1,v Sri Lanka,Colombo (RPS),2024/01/11,Zimbabwe,0,0,0-49,,,,,,,,,,
T Mufudza,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,-,,,,,,,,,,
C Madande,DNB,-,-,0,0,-,-,-,-,2,v Sri Lanka,Colombo (RPS),2024/01/06,Zimbabwe,0,0,-,,,,,,,,,,
